texto;es_acoso;tipo_acoso
Me empujan constantemente en el recreo;1;físico
Mis compañeros me insultan por mi aspecto;1;verbal
Nadie quiere sentarse conmigo en el almuerzo;1;social
Me envían mensajes amenazantes por WhatsApp;1;cibernético
Me esconden la mochila todos los días;1;físico
Se burlan de mi forma de hablar;1;verbal
Han creado un grupo para burlarse de mí;1;social
Me piden dinero para no golpearme;1;físico
Difunden rumores falsos sobre mí;1;social
Me excluyen de todas las actividades;1;social
Me toman fotos sin permiso para burlarse;1;cibernético
Me rompen mis útiles escolares;1;físico
Me ponen apodos ofensivos;1;verbal
Juego feliz con mis amigos en el recreo;0;ninguno
Mis compañeros me ayudan con las tareas;0;ninguno
La maestra me felicitó por mi trabajo;0;ninguno
Hice un nuevo amigo en clase;0;ninguno
Me divierto en las actividades grupales;0;ninguno
Mis compañeros me respetan;0;ninguno
Participo en los juegos del recreo;0;ninguno
Me siento bien en la escuela;0;ninguno
Tengo buenos amigos en clase;0;ninguno
Me gusta participar en las actividades;0;ninguno
Mis compañeros me tratan con respeto;0;ninguno
Me siento seguro en el colegio;0;ninguno
Tengo apoyo de mis profesores;0;ninguno
Me divierto en el recreo;0;ninguno
Mis compañeros me ayudan cuando lo necesito;0;ninguno
Me siento incluido en el grupo;0;ninguno
La escuela es un lugar agradable;0;ninguno 
Hice un nuevo amigo en el taller de arte;0;ninguno
Mis amigos me invitaron a su grupo de estudio;0;ninguno
Recibo mensajes amenazantes en mis redes sociales;1;cibernético
Me hacen sentir que merezco el maltrato;1;psicológico
Me graban sin mi consentimiento para burlarse de mí;1;cibernético
Comparto mis útiles con quien los necesite;0;ninguno
Me empujan en las escaleras;1;físico
Me dan golpes cuando nadie está mirando;1;físico
Me gusta ayudar a los nuevos estudiantes;0;ninguno
Nadie me habla en la escuela;1;social
Hacen fiestas y no me invitan;1;social
Me amenazan con publicar información personal;1;cibernético
Me hacen sentir que no valgo nada;1;psicológico
Me pellizcan o empujan en los pasillos;1;físico
Se hacen los que no me escuchan cuando hablo;1;social
Me dejan comentarios ofensivos en mis publicaciones;1;cibernético
Me quitan el dinero del almuerzo;1;físico
Me amenazan con hacerme daño si cuento algo;1;psicológico
Me etiquetan en fotos humillantes a propósito;1;cibernético
Me envían mensajes ofensivos por WhatsApp;1;cibernético
Ayer me reí mucho con mis amigos en el recreo;0;ninguno
Me acosan por mensajes de texto constantemente;1;cibernético
Me amenazan con lastimar a mis mascotas;1;psicológico
Me ignoran en el grupo de WhatsApp;1;social
Me escupen cuando paso por su lado;1;físico
Hoy almorcé con mis amigos en la escuela;0;ninguno
Ayer tuve una discusión amistosa con un compañero;0;ninguno
Mis compañeros me ayudaron con la tarea de matemáticas;0;ninguno
Me llevo bien con mis compañeros de clase;0;ninguno
Me excluyen de los trabajos en equipo;1;social
Me amenazan con lastimar a mi familia;1;psicológico
Me siento respetado por mis compañeros;0;ninguno
Me dan patadas en el recreo;1;físico
Se ríen de mi familia;1;verbal
Me dicen que no sirvo para nada;1;verbal
Me gritan cosas ofensivas en el pasillo;1;verbal
Me hacen sentir miedo de ir a la escuela;1;psicológico
Me quitan mis cosas y las esconden;1;físico
Se sientan lejos de mí a propósito;1;social
Me gusta participar en las actividades escolares;0;ninguno
Me amenazan con difundir secretos míos;1;psicológico
No me dejan jugar con ellos;1;social
Se burlan de mis gustos musicales;1;verbal
Me hacen sentir culpable por todo;1;psicológico
Me hacen sentir que no tengo amigos;1;psicológico
Crearon un perfil falso para burlarse de mí;1;cibernético
Se burlan de mi forma de vestir;1;verbal
Compartieron mis fotos privadas sin permiso;1;cibernético
La maestra me felicitó por mi participación;0;ninguno
Me hacen quedar mal frente a los demás;1;social
Se ríen cuando paso por su lado;1;social
Se ríen de mí por mis calificaciones;1;verbal
Me gusta trabajar en equipo con mis compañeros;0;ninguno
Me empujan contra el casillero a diario;1;físico
Me dicen apodos ofensivos;1;verbal
Me rompen mis útiles escolares a propósito;1;físico
Me siento cómodo en mi salón de clases;0;ninguno
Hacen chismes falsos sobre mí;1;social
Me insultan por mi apariencia física;1;verbal
Crearon un grupo para hablar mal de mí;1;cibernético
Me manipulan para que haga cosas que no quiero;1;psicológico
Me lanzan objetos en clase para molestarme;1;físico
Me dicen que nadie me quiere;1;verbal
Ayer jugué fútbol con mis amigos en el recreo;0;ninguno
