texto;es_acoso;tipo_acoso
Me empujan constantemente en el recreo;1;físico
Mis compañeros me insultan por mi aspecto;1;verbal
Nadie quiere sentarse conmigo en el almuerzo;1;social
Me envían mensajes amenazantes por WhatsApp;1;cibernético
Me esconden la mochila todos los días;1;físico
Se burlan de mi forma de hablar;1;verbal
Han creado un grupo para burlarse de mí;1;social
Me piden dinero para no golpearme;1;físico
Difunden rumores falsos sobre mí;1;social
Me excluyen de todas las actividades;1;social
Me toman fotos sin permiso para burlarse;1;cibernético
Me rompen mis útiles escolares;1;físico
Me ponen apodos ofensivos;1;verbal
Juego feliz con mis amigos en el recreo;0;ninguno
Mis compañeros me ayudan con las tareas;0;ninguno
La maestra me felicitó por mi trabajo;0;ninguno
Hice un nuevo amigo en clase;0;ninguno
Me divierto en las actividades grupales;0;ninguno
Mis compañeros me respetan;0;ninguno
Participo en los juegos del recreo;0;ninguno
Me siento bien en la escuela;0;ninguno
Tengo buenos amigos en clase;0;ninguno
Me gusta participar en las actividades;0;ninguno
Mis compañeros me tratan con respeto;0;ninguno
Me siento seguro en el colegio;0;ninguno
Tengo apoyo de mis profesores;0;ninguno
Me divierto en el recreo;0;ninguno
Mis compañeros me ayudan cuando lo necesito;0;ninguno
Me siento incluido en el grupo;0;ninguno
La escuela es un lugar agradable;0;ninguno 
